All overheads expressed in microseconds
Ntasks	Overhead	Overhead per task
2	0.2625		0.1313
4	0.5124		0.1281
6	0.7607		0.1268
8	1.0004		0.1250
10	1.2446		0.1245
12	1.4889		0.1241
14	1.7332		0.1238
16	1.9620		0.1226
18	2.2315		0.1240
20	2.4543		0.1227
22	2.7165		0.1235
24	2.9690		0.1237
26	3.2313		0.1243
28	3.4321		0.1226
30	3.6813		0.1227
32	3.9019		0.1219
34	4.1678		0.1226
36	4.4072		0.1224
38	4.6875		0.1234
40	4.8737		0.1218
42	5.1419		0.1224
44	5.3642		0.1219
46	5.6275		0.1223
48	5.8529		0.1219
50	6.1222		0.1224
52	6.3484		0.1221
54	6.5862		0.1220
56	6.8515		0.1223
58	7.1055		0.1225
60	7.3585		0.1226
62	7.6012		0.1226
64	7.8240		0.1222
